,General,General,General,General,General,General,General,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,General
360,348,Lucas Moura,br BRA,"FW,MF",Tottenham,28,1992,34,19,1775,19.7,2,6,2,0,0,4,0,0.1,0.3,0.41,0.1,0.41,3.7,3.7,4.4,8.1,0.19,0.23,0.41,0.19,0.41,Matches
361,349,João Moutinho,pt POR,MF,Wolves,34,1986,35,34,2970,33.0,2,1,2,0,0,4,0,0.06,0.03,0.09,0.06,0.09,1.0,1.0,2.4,3.5,0.03,0.07,0.11,0.03,0.11,Matches
362,350,Bali Mumba,eng ENG,DF,Norwich City,19,2001,1,0,45,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
364,351,Jacob Murphy,eng ENG,"FW,DF",Newcastle Utd,26,1995,33,13,1473,16.4,1,2,1,0,0,4,0,0.06,0.12,0.18,0.06,0.18,2.9,2.9,2.1,5.0,0.18,0.13,0.31,0.18,0.31,Matches
365,352,Enock Mwepu,zm ZAM,"MF,FW",Brighton,23,1998,18,12,996,11.1,2,4,2,0,0,2,0,0.18,0.36,0.54,0.18,0.54,1.9,1.9,1.4,3.2,0.17,0.12,0.29,0.17,0.29,Matches
366,353,Vitaliy Mykolenko,ua UKR,DF,Everton,22,1999,13,12,1055,11.7,1,0,1,0,0,0,0,0.09,0.0,0.09,0.09,0.09,0.8,0.8,0.8,1.6,0.07,0.07,0.14,0.07,0.14,Matches
367,354,Marvelous Nakamba,zw ZIM,MF,Aston Villa,27,1994,16,10,904,10.0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01,Matches
368,355,Wilfred Ndidi,ng NGA,"MF,DF",Leicester City,24,1996,19,18,1618,18.0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.06,0.0,0.06,0.06,0.06,Matches
369,356,Tanguy Ndombele,fr FRA,MF,Tottenham,24,1996,9,6,484,5.4,1,1,1,0,0,1,0,0.19,0.19,0.37,0.19,0.37,0.5,0.5,0.4,0.9,0.09,0.07,0.16,0.09,0.16,Matches
370,357,Reiss Nelson,eng ENG,FW,Arsenal,21,1999,1,0,20,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.16,0.18,0.35,0.16,0.35,Matches
371,358,Pedro Neto,pt POR,"FW,MF",Wolves,21,2000,13,5,466,5.2,1,1,1,0,0,3,0,0.19,0.19,0.39,0.19,0.39,1.5,1.5,1.1,2.6,0.29,0.22,0.51,0.29,0.51,Matches
372,359,Rúben Neves,pt POR,MF,Wolves,24,1997,33,31,2661,29.6,4,2,4,0,0,9,0,0.14,0.07,0.2,0.14,0.2,1.2,1.2,2.2,3.4,0.04,0.07,0.12,0.04,0.12,Matches
373,360,Jeremy Ngakia,eng ENG,DF,Watford,20,2000,16,9,903,10.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,0.01,0.05,0.06,0.01,0.06,Matches
374,361,Saúl Ñíguez,es ESP,"MF,DF",Chelsea,26,1994,10,5,480,5.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,0.04,0.06,0.1,0.04,0.1,Matches
375,362,Eddie Nketiah,eng ENG,FW,Arsenal,22,1999,21,8,835,9.3,5,1,5,0,0,3,0,0.54,0.11,0.65,0.54,0.65,4.6,4.6,1.4,6.1,0.5,0.16,0.65,0.5,0.65,Matches
376,363,Nicolas Nkoulou,cm CMR,DF,Watford,31,1990,3,2,168,1.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
377,364,Mark Noble,eng ENG,MF,West Ham,34,1987,11,3,332,3.7,1,0,0,1,2,0,0,0.27,0.0,0.27,0.0,0.0,1.5,0.0,0.2,0.2,0.41,0.06,0.47,0.0,0.06,Matches
378,365,Mathias Normann,no NOR,MF,Norwich City,25,1996,23,20,1645,18.3,1,2,1,0,0,6,0,0.05,0.11,0.16,0.05,0.16,0.9,0.9,1.8,2.8,0.05,0.1,0.15,0.05,0.15,Matches
379,366,Christian Nørgaard,dk DEN,MF,Brentford,27,1994,35,35,3054,33.9,3,4,3,0,0,8,0,0.09,0.12,0.21,0.09,0.21,3.2,3.2,3.1,6.3,0.09,0.09,0.19,0.09,0.19,Matches
380,367,Angelo Ogbonna,it ITA,DF,West Ham,33,1988,11,11,921,10.2,1,0,1,0,0,1,0,0.1,0.0,0.1,0.1,0.1,0.3,0.3,0.0,0.3,0.03,0.0,0.03,0.03,0.03,Matches
381,368,Michael Olise,fr FRA,"FW,MF",Crystal Palace,19,2001,26,12,1141,12.7,2,5,2,0,0,4,0,0.16,0.39,0.55,0.16,0.55,1.4,1.4,3.4,4.8,0.11,0.27,0.38,0.11,0.38,Matches
382,369,Robin Olsen,se SWE,GK,Aston Villa,31,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
383,370,Andrew Omobamidele,ie IRL,DF,Norwich City,19,2002,5,4,382,4.2,1,0,1,0,0,1,0,0.24,0.0,0.24,0.24,0.24,0.3,0.3,0.0,0.3,0.08,0.0,0.08,0.08,0.08,Matches
384,371,Tyler Onyango,eng ENG,"MF,FW",Everton,18,2003,3,0,28,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
385,372,Frank Onyeka,ng NGA,MF,Brentford,23,1998,20,12,1045,11.6,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.2,1.3,0.1,0.02,0.11,0.1,0.11,Matches
386,373,Divock Origi,be BEL,FW,Liverpool,26,1995,7,0,133,1.5,3,0,3,0,0,0,0,2.03,0.0,2.03,2.03,2.03,1.6,1.6,0.0,1.6,1.08,0.0,1.08,1.08,1.08,Matches
387,374,Alex Oxlade-Chamberlain,eng ENG,"MF,FW",Liverpool,27,1993,17,9,785,8.7,2,1,2,0,0,0,0,0.23,0.11,0.34,0.23,0.34,1.2,1.2,0.9,2.1,0.14,0.11,0.24,0.14,0.24,Matches
388,375,Cole Palmer,eng ENG,"FW,MF",Manchester City,19,2002,4,1,123,1.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,0.23,0.17,0.39,0.23,0.39,Matches
390,376,Emerson Palmieri,it ITA,DF,Chelsea,26,1994,1,0,5,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
391,377,Thomas Partey,gh GHA,MF,Arsenal,28,1993,24,23,2028,22.5,2,1,2,0,0,6,0,0.09,0.04,0.13,0.09,0.13,2.5,2.5,1.3,3.8,0.11,0.06,0.17,0.11,0.17,Matches
392,378,João Pedro,br BRA,"FW,MF",Watford,19,2001,28,15,1644,18.3,3,1,3,0,0,1,0,0.16,0.05,0.22,0.16,0.22,4.2,4.2,2.6,6.8,0.23,0.14,0.37,0.23,0.37,Matches
393,379,Nicolas Pépé,ci CIV,"FW,MF",Arsenal,26,1995,20,5,696,7.7,1,2,1,0,0,0,0,0.13,0.26,0.39,0.13,0.39,2.9,2.9,1.7,4.6,0.38,0.22,0.6,0.38,0.6,Matches
394,380,Ricardo Pereira,pt POR,DF,Leicester City,27,1993,14,13,991,11.0,1,3,1,0,0,3,0,0.09,0.27,0.36,0.09,0.36,0.7,0.7,1.3,2.0,0.06,0.12,0.18,0.06,0.18,Matches
395,381,Ayoze Pérez,es ESP,"MF,FW",Leicester City,28,1993,14,6,445,4.9,2,3,2,0,0,0,1,0.4,0.61,1.01,0.4,1.01,1.5,1.5,0.9,2.4,0.31,0.18,0.49,0.31,0.49,Matches
396,382,Sonny Perkins,eng ENG,FW,West Ham,17,2004,1,0,4,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
397,383,Romain Perraud,fr FRA,DF,Southampton,23,1997,20,18,1623,18.0,0,1,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06,0.9,0.9,0.6,1.5,0.05,0.03,0.08,0.05,0.08,Matches
398,384,Kalvin Phillips,eng ENG,MF,Leeds United,25,1995,20,18,1596,17.7,0,1,0,0,0,4,0,0.0,0.06,0.06,0.0,0.06,0.6,0.6,0.2,0.9,0.04,0.01,0.05,0.04,0.05,Matches
399,385,Jaden Philogene Bidace,eng ENG,FW,Aston Villa,19,2002,1,0,5,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
400,386,Jordan Pickford,eng ENG,GK,Everton,27,1994,35,35,3150,35.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,Matches
401,387,Erik Pieters,nl NED,DF,Burnley,32,1988,12,8,730,8.1,0,1,0,0,0,1,0,0.0,0.12,0.12,0.0,0.12,0.2,0.2,0.8,1.0,0.02,0.1,0.13,0.02,0.13,Matches
402,388,Ethan Pinnock,jm JAM,DF,Brentford,28,1993,32,32,2694,29.9,1,1,1,0,0,1,0,0.03,0.03,0.07,0.03,0.07,1.5,1.5,1.2,2.8,0.05,0.04,0.09,0.05,0.09,Matches
403,389,Daniel Podence,pt POR,"FW,MF",Wolves,25,1995,26,15,1484,16.5,2,3,2,0,0,2,0,0.12,0.18,0.3,0.12,0.3,1.9,1.9,3.8,5.8,0.12,0.23,0.35,0.12,0.35,Matches
404,390,Paul Pogba,fr FRA,"MF,FW",Manchester Utd,28,1993,20,16,1349,15.0,1,9,1,0,0,7,1,0.07,0.6,0.67,0.07,0.67,2.4,2.4,3.5,6.0,0.16,0.24,0.4,0.16,0.4,Matches
405,391,Nick Pope,eng ENG,GK,Burnley,29,1992,36,36,3240,36.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.01,0.01,0.0,0.01,Matches
406,392,Isaac Price,nir NIR,MF,Everton,17,2003,1,0,14,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1.03,0.0,1.03,1.03,1.03,Matches
407,393,Teemu Pukki,fi FIN,FW,Norwich City,31,1990,37,37,3253,36.1,11,3,8,3,3,4,0,0.3,0.08,0.39,0.22,0.3,11.5,9.2,2.8,12.0,0.32,0.08,0.4,0.26,0.33,Matches
408,394,Christian Pulisic,us USA,"MF,FW",Chelsea,22,1998,22,13,1290,14.3,6,2,6,0,0,2,0,0.42,0.14,0.56,0.42,0.56,5.1,5.1,1.2,6.3,0.35,0.08,0.44,0.35,0.44,Matches
409,395,Przemysław Płacheta,pl POL,"FW,MF",Norwich City,23,1998,12,6,504,5.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.7,1.3,0.1,0.13,0.23,0.1,0.23,Matches
410,396,Jesuran Rak Sakyi,eng ENG,"FW,MF",Crystal Palace,18,2002,2,1,80,0.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
411,397,Aaron Ramsdale,eng ENG,GK,Arsenal,23,1998,34,34,3060,34.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
412,398,Jacob Ramsey,eng ENG,MF,Aston Villa,20,2001,34,29,2467,27.4,6,1,6,0,0,6,0,0.22,0.04,0.26,0.22,0.26,3.8,3.8,2.0,5.8,0.14,0.07,0.21,0.14,0.21,Matches
413,399,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,23,1997,25,13,1235,13.7,4,2,4,0,0,2,0,0.29,0.15,0.44,0.29,0.44,2.4,2.4,2.0,4.4,0.18,0.14,0.32,0.18,0.32,Matches
414,400,Milot Rashica,xk KVX,"FW,MF",Norwich City,25,1996,31,25,2229,24.8,1,2,1,0,0,0,0,0.04,0.08,0.12,0.04,0.12,2.7,2.7,2.6,5.3,0.11,0.1,0.21,0.11,0.21,Matches
416,401,David Raya,es ESP,GK,Brentford,25,1995,24,24,2160,24.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
417,402,Nathan Redmond,eng ENG,"MF,FW",Southampton,27,1994,27,20,1833,20.4,1,5,1,0,0,0,0,0.05,0.25,0.29,0.05,0.29,1.9,1.9,4.3,6.3,0.09,0.21,0.31,0.09,0.31,Matches
418,403,Sergio Reguilón,es ESP,DF,Tottenham,24,1996,25,22,1916,21.3,2,3,2,0,0,4,0,0.09,0.14,0.23,0.09,0.23,3.0,3.0,4.0,7.0,0.14,0.19,0.33,0.14,0.33,Matches
419,404,Declan Rice,eng ENG,MF,West Ham,22,1999,36,35,3179,35.3,1,4,1,0,0,8,0,0.03,0.11,0.14,0.03,0.14,1.1,1.1,2.0,3.0,0.03,0.06,0.09,0.03,0.09,Matches
420,405,Taylor Richards,eng ENG,"MF,FW",Brighton,20,2000,2,0,25,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches
421,406,Richarlison,br BRA,"FW,MF",Everton,24,1997,30,28,2523,28.0,10,5,7,3,3,9,0,0.36,0.18,0.54,0.25,0.43,10.2,7.9,2.4,10.3,0.36,0.09,0.45,0.28,0.37,Matches
422,407,Jaïro Riedewald,nl NED,MF,Crystal Palace,24,1996,3,1,118,1.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.06,0.06,0.0,0.06,Matches
423,408,Matt Ritchie,sct SCO,DF,Newcastle Utd,31,1989,18,14,1337,14.9,0,2,0,0,0,5,0,0.0,0.13,0.13,0.0,0.13,0.4,0.4,1.6,2.1,0.03,0.11,0.14,0.03,0.14,Matches
424,409,Connor Roberts,wls WAL,DF,Burnley,25,1995,21,19,1692,18.8,1,1,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11,0.2,0.2,1.1,1.3,0.01,0.06,0.07,0.01,0.07,Matches
425,410,Tyler Roberts,wls WAL,"MF,FW",Leeds United,22,1999,23,7,987,11.0,1,1,1,0,0,5,0,0.09,0.09,0.18,0.09,0.18,2.4,2.4,1.2,3.7,0.22,0.11,0.34,0.22,0.34,Matches
426,411,Andrew Robertson,sct SCO,DF,Liverpool,27,1994,29,29,2537,28.2,3,10,3,0,0,5,1,0.11,0.35,0.46,0.11,0.46,1.9,1.9,5.2,7.0,0.07,0.18,0.25,0.07,0.25,Matches
427,412,Joe Rodon,wls WAL,DF,Tottenham,23,1997,3,0,89,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
428,413,Rodri,es ESP,MF,Manchester City,25,1996,33,33,2884,32.0,7,2,7,0,0,5,0,0.22,0.06,0.28,0.22,0.28,2.7,2.7,1.4,4.1,0.08,0.04,0.13,0.08,0.13,Matches
429,414,Rodrigo,es ESP,"MF,FW",Leeds United,30,1991,31,27,2265,25.2,6,1,5,1,1,9,0,0.24,0.04,0.28,0.2,0.24,4.9,4.1,4.6,8.8,0.19,0.18,0.38,0.16,0.35,Matches
430,415,Jay Rodriguez,eng ENG,FW,Burnley,32,1989,29,13,1382,15.4,2,2,2,0,0,3,0,0.13,0.13,0.26,0.13,0.26,4.7,4.7,1.9,6.6,0.3,0.12,0.43,0.3,0.43,Matches
431,416,Mads Roerslev,dk DEN,DF,Brentford,22,1999,21,12,1240,13.8,1,1,1,0,0,1,0,0.07,0.07,0.15,0.07,0.15,0.3,0.3,0.9,1.2,0.02,0.06,0.08,0.02,0.08,Matches
432,417,Cristian Romero,ar ARG,DF,Tottenham,23,1998,22,21,1844,20.5,1,0,1,0,0,8,0,0.05,0.0,0.05,0.05,0.05,0.7,0.7,0.5,1.1,0.03,0.02,0.05,0.03,0.05,Matches
433,418,Oriol Romeu,es ESP,MF,Southampton,29,1991,36,34,2889,32.1,2,2,2,0,0,9,0,0.06,0.06,0.12,0.06,0.12,1.3,1.3,2.8,4.1,0.04,0.09,0.13,0.04,0.13,Matches
434,419,Cristiano Ronaldo,pt POR,FW,Manchester Utd,36,1985,30,27,2456,27.3,18,3,15,3,3,8,0,0.66,0.11,0.77,0.55,0.66,16.5,14.2,3.1,17.3,0.61,0.11,0.72,0.52,0.64,Matches
435,420,Salomón Rondón,ve VEN,FW,Everton,31,1989,20,8,790,8.8,1,1,1,0,0,3,1,0.11,0.11,0.23,0.11,0.23,2.2,2.2,0.7,2.9,0.25,0.09,0.33,0.25,0.33,Matches
436,421,Danny Rose,eng ENG,DF,Watford,31,1990,8,7,689,7.7,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,0.9,0.02,0.1,0.12,0.02,0.12,Matches
437,422,Jon Rowe,eng ENG,"FW,MF",Norwich City,18,2003,13,0,223,2.5,0,1,0,0,0,0,0,0.0,0.4,0.4,0.0,0.4,0.4,0.4,0.3,0.7,0.16,0.14,0.3,0.16,0.3,Matches
438,423,John Ruddy,eng ENG,GK,Wolves,34,1986,2,1,135,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
439,424,Antonio Rüdiger,de GER,DF,Chelsea,28,1993,34,34,3035,33.7,3,0,3,0,0,9,0,0.09,0.0,0.09,0.09,0.09,2.8,2.8,1.1,3.9,0.08,0.03,0.12,0.08,0.12,Matches
440,425,Lukas Rupp,de GER,MF,Norwich City,30,1991,19,7,769,8.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.2,1.9,0.08,0.14,0.22,0.08,0.22,Matches
442,426,José Sá,pt POR,GK,Wolves,28,1993,37,37,3285,36.5,0,1,0,0,0,3,0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,1.0,1.0,0.0,0.03,0.03,0.0,0.03,Matches
443,427,Allan Saint-Maximin,fr FRA,"FW,MF",Newcastle Utd,24,1997,35,31,2804,31.2,5,5,5,0,0,6,0,0.16,0.16,0.32,0.16,0.32,5.1,5.1,5.8,10.9,0.16,0.19,0.35,0.16,0.35,Matches
444,428,Romain Saïss,ma MAR,DF,Wolves,31,1990,31,31,2705,30.1,2,0,2,0,0,6,0,0.07,0.0,0.07,0.07,0.07,2.7,2.7,0.4,3.1,0.09,0.01,0.1,0.09,0.1,Matches
445,429,Bukayo Saka,eng ENG,"FW,MF",Arsenal,19,2001,38,36,2978,33.1,11,7,9,2,2,6,0,0.33,0.21,0.54,0.27,0.48,9.7,8.2,6.9,15.2,0.29,0.21,0.5,0.25,0.46,Matches
446,430,Mohamed Salah,eg EGY,FW,Liverpool,29,1992,35,30,2762,30.7,23,13,18,5,6,1,0,0.75,0.42,1.17,0.59,1.01,21.8,17.0,10.4,27.4,0.71,0.34,1.05,0.55,0.89,Matches
447,431,Mohammed Salisu,gh GHA,DF,Southampton,22,1999,34,33,2972,33.0,0,0,0,0,0,10,1,0.0,0.0,0.0,0.0,0.0,1.8,1.8,0.5,2.3,0.06,0.02,0.07,0.06,0.07,Matches
448,432,Albert Sambi Lokonga,be BEL,MF,Arsenal,21,1999,19,12,1134,12.6,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.8,1.4,0.05,0.06,0.11,0.05,0.11,Matches
449,433,Davinson Sánchez,co COL,DF,Tottenham,25,1996,23,17,1631,18.1,2,0,2,0,0,4,0,0.11,0.0,0.11,0.11,0.11,2.1,2.1,0.4,2.5,0.11,0.02,0.14,0.11,0.14,Matches
450,434,Robert Sánchez,es ESP,GK,Brighton,23,1997,37,37,3329,37.0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.01,0.01,0.0,0.01,Matches
451,435,Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,21,2000,29,20,1900,21.1,3,3,3,0,0,0,0,0.14,0.14,0.28,0.14,0.28,3.3,3.3,4.2,7.5,0.16,0.2,0.36,0.16,0.36,Matches
452,436,Morgan Sanson,fr FRA,MF,Aston Villa,26,1994,10,3,356,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,Matches
453,437,Samir Santos,br BRA,DF,Watford,26,1994,19,19,1673,18.6,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.5,0.02,0.01,0.02,0.02,0.02,Matches
454,438,Josh Sargent,us USA,"FW,MF",Norwich City,21,2000,26,18,1572,17.5,2,1,2,0,0,1,0,0.11,0.06,0.17,0.11,0.17,2.7,2.7,0.7,3.5,0.16,0.04,0.2,0.16,0.2,Matches
455,439,Jeremy Sarmiento,ec ECU,"FW,MF",Brighton,19,2002,5,1,48,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
456,440,Ismaila Sarr,sn SEN,"FW,MF",Watford,23,1998,22,21,1861,20.7,5,2,5,0,1,2,0,0.24,0.1,0.34,0.24,0.34,4.2,3.5,2.5,6.0,0.2,0.12,0.33,0.17,0.29,Matches
457,441,Malang Sarr,fr FRA,DF,Chelsea,22,1999,8,6,546,6.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.01,0.06,0.07,0.01,0.07,Matches
458,442,Dane Scarlett,eng ENG,MF,Tottenham,17,2004,1,0,4,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
459,443,Fabian Schär,ch SUI,DF,Newcastle Utd,29,1991,25,25,2158,24.0,2,2,2,0,0,4,0,0.08,0.08,0.17,0.08,0.17,1.3,1.3,0.6,2.0,0.06,0.03,0.08,0.06,0.08,Matches
460,444,Jeffrey Schlupp,gh GHA,"MF,FW",Crystal Palace,28,1992,32,20,1851,20.6,4,1,4,0,0,1,0,0.19,0.05,0.24,0.19,0.24,3.1,3.1,1.8,4.9,0.15,0.09,0.24,0.15,0.24,Matches
461,445,Kasper Schmeichel,dk DEN,GK,Leicester City,34,1986,37,37,3330,37.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
462,446,Ken Sema,se SWE,"MF,FW",Watford,27,1993,18,7,852,9.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.2,1.4,0.02,0.13,0.14,0.02,0.14,Matches
463,447,Nélson Semedo,pt POR,DF,Wolves,27,1993,25,25,2131,23.7,0,1,0,0,0,1,0,0.0,0.04,0.04,0.0,0.04,1.4,1.4,1.2,2.6,0.06,0.05,0.11,0.06,0.11,Matches
464,448,Ryan Sessegnon,eng ENG,DF,Tottenham,21,2000,15,13,1047,11.6,0,2,0,0,0,2,0,0.0,0.17,0.17,0.0,0.17,0.4,0.4,2.9,3.3,0.03,0.25,0.28,0.03,0.28,Matches
465,449,Jamie Shackleton,eng ENG,"DF,MF",Leeds United,21,1999,14,7,709,7.9,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.02,0.01,0.03,0.02,0.03,Matches
466,450,Luke Shaw,eng ENG,DF,Manchester Utd,26,1995,20,19,1601,17.8,0,3,0,0,0,8,0,0.0,0.17,0.17,0.0,0.17,0.2,0.2,3.2,3.4,0.01,0.18,0.19,0.01,0.19,Matches
468,451,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,29,1992,24,22,1983,22.0,2,1,2,0,0,7,1,0.09,0.05,0.14,0.09,0.14,0.9,0.9,0.8,1.7,0.04,0.04,0.08,0.04,0.08,Matches
469,452,Shola Shoretire,eng ENG,FW,Manchester Utd,17,2004,1,0,16,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
470,453,Francisco Sierralta,cl CHI,DF,Watford,24,1997,5,5,427,4.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
471,454,Bernardo Silva,pt POR,"MF,FW",Manchester City,26,1994,35,33,2857,31.7,8,4,8,0,0,6,0,0.25,0.13,0.38,0.25,0.38,6.8,6.8,5.2,12.0,0.21,0.16,0.38,0.21,0.38,Matches
472,455,Fábio Silva,pt POR,FW,Wolves,19,2002,22,6,572,6.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.3,2.3,0.2,2.4,0.36,0.02,0.38,0.36,0.38,Matches
473,456,Thiago Silva,br BRA,DF,Chelsea,36,1984,32,28,2650,29.4,3,0,3,0,0,2,0,0.1,0.0,0.1,0.1,0.1,0.9,0.9,0.2,1.1,0.03,0.01,0.04,0.03,0.04,Matches
474,457,Ellis Simms,eng ENG,FW,Everton,20,2001,1,1,61,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
475,458,Moussa Sissoko,fr FRA,MF,Watford,31,1989,36,36,3220,35.8,2,1,2,0,0,5,0,0.06,0.03,0.08,0.06,0.08,3.4,3.4,2.8,6.2,0.1,0.08,0.17,0.1,0.17,Matches
476,459,Oliver Skipp,eng ENG,MF,Tottenham,20,2000,18,14,1350,15.0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.9,1.1,0.01,0.06,0.07,0.01,0.07,Matches
477,460,William Smallbone,ie IRL,"MF,FW",Southampton,21,2000,4,2,133,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.05,0.06,0.12,0.05,0.12,Matches
478,461,Emile Smith Rowe,eng ENG,"MF,FW",Arsenal,21,2000,33,21,1921,21.3,10,2,10,0,0,1,0,0.47,0.09,0.56,0.47,0.56,5.8,5.8,2.2,8.0,0.27,0.1,0.37,0.27,0.37,Matches
479,462,Cédric Soares,pt POR,DF,Arsenal,29,1991,21,16,1486,16.5,1,1,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,0.5,0.5,1.4,2.0,0.03,0.09,0.12,0.03,0.12,Matches
480,463,Tomáš Souček,cz CZE,MF,West Ham,26,1995,35,34,3062,34.0,5,1,5,0,0,3,0,0.15,0.03,0.18,0.15,0.18,4.8,4.4,1.5,5.9,0.14,0.05,0.19,0.13,0.17,Matches
